Wallet,Pending ORI,Pending JUMP,Formatted Pending ORI,Formatted Pending JUMP
0x1051983F909A7c847c2b70d7f776c5aDE30A2597,16318008410381220000,3263601682076244000,16.31800841038122,3.263601682076244
0x106daF41a7e4F98984662Ce9a0366b2F8662c0fa,400833110.31438076,80166622.06287615,4.0083311031438074e-10,8.016662206287615e-11
0x107908CcB8fAB04d8E0bF43614dA6E6da082E1F2,400854620.31438076,80170924.06287615,4.0085462031438077e-10,8.017092406287615e-11
0x1086D1669F7EE889eB341EEAFc25cE3A3355f427,400832385.31438076,80166477.06287615,4.0083238531438077e-10,8.016647706287615e-11
0x10890742A1a20A936132072C20Ae77b081486190,152718600470979020000,30543720094195802000,152.71860047097903,30.543720094195802
0x10a811C60bb7114A8F901652906D69E93df7F616,192965619298339780,38593123859667950,0.19296561929833977,0.038593123859667955
0x10C7Cd6128A2A5E801b6B5b521ef7Eb7d33D2103,700717938477568600000,140143587695513730000,700.7179384775686,140.14358769551373
0x10DEe29B425A994AdfF80f73D561bf3a93ECeE58,210478049138395700,42095609827679144,0.2104780491383957,0.04209560982767915
0x10dFE484477dce16A11451c54f31efb75f7c3F88,911726832454042000000,182345366490808400000,911.726832454042,182.34536649080837
0x1153Ec31A3BA43B195d1c928fA847744f2055e2A,400840523.31438076,80168104.66287616,4.0084052331438075e-10,8.016810466287616e-11
0x11668AE842548C1d4F28B285500d62612C7A83e0,255172732054513950,51034546410902790,0.25517273205451396,0.05103454641090279
0x117Ee9D4c145653b3DC1aBe2eD0CE59C3acEcbff,3.4536646161154995e+22,6.907329232230999e+21,34536.646161155,6907.329232230999
0x119B2Be32AE0C5C594df2ceAdA9AF7A3DEd3f758,17316618511518270000,3463323702303654000,17.316618511518268,3.463323702303654
0x11F67d419b8766A74b741D14c75eB35852C3D41F,400829247.31438076,80165849.46287616,4.008292473143808e-10,8.016584946287615e-11
0x11fE182a8771eb463C0D72d1EdFd8d6D427feE61,400851390.31438076,80170278.06287615,4.0085139031438075e-10,8.017027806287616e-11
0x120eC0Eff4DFC07A7E1e391b048554764fa4f484,9254999519500016000,1850999903900003000,9.254999519500016,1.8509999039000031
0x12136D055c9bc0c283B182e7540218E37830ef48,64008937178446560000,12801787435689312000,64.00893717844656,12.801787435689313
0x12183d84c2E563e26beE4b7059B3Dda28C5F3754,1.1801041959107688e+23,2.3602083918215377e+22,118010.41959107688,23602.083918215376
0x1231244c886B7c690E6A434e198d8F7F302b7D98,12126382615211346000,2425276523042269000,12.126382615211346,2.4252765230422693
0x125fCA8Fa2ca50488cb6f3c2f9d93c0D36dBf6dA,400848976.31438076,80169795.26287615,4.0084897631438074e-10,8.016979526287615e-11
0x1263df893F368D47F9bbF9c39f10dC8ac762244f,640220482154513300000,128044096430902660000,640.2204821545133,128.04409643090267
0x126C6A74526625f30F170f99D4a1a293d65167d2,400831982.31438076,80166396.46287616,4.0083198231438077e-10,8.016639646287615e-11
0x127E4B22C90aF3baD851922D475EA091e609240e,907032968236608400000,181406593647321680000,907.0329682366084,181.40659364732167
0x12808b838eC259a93E3A012FC86B5d508903424F,400853489.31438076,80170697.86287615,4.0085348931438075e-10,8.017069786287615e-11
0x12Adaf5911ADF49430103b59184505049b138a2E,400847609.31438076,80169521.86287615,4.0084760931438077e-10,8.016952186287615e-11
0x12c2975C63F95221657c486759b320DF440302d8,400851874.31438076,80170374.86287615,4.0085187431438075e-10,8.017037486287615e-11
0x12c4c445344b242f60Edbb5Eb318fe45226dc322,45576825595126250000,9115365119025250000,45.57682559512625,9.11536511902525
0x12e6D6875c4252d55E59739Ad7FFF21B8aA6F4D2,895315835376316000000,179063167075263220000,895.315835376316,179.0631670752632
0x12f36F70d30d5C16198f98DF388dC0D2E06f2288,6269661524575272000,1253932304915054300,6.269661524575272,1.2539323049150544
0x1300CcC022C3fb00901Aec59701f98A2A1c54617,184966661294247540000,36993332258849505000,184.96666129424753,36.993332258849506
0x131026E4bb4609b6A735DE29B6C71C4bCAD1DAE8,3162200278452339,632440055690467.8,0.003162200278452339,0.0006324400556904677
0x133B4A1609A6B23a44C07F567b0fC8B51c4c0BF0,400834963.31438076,80166992.66287616,4.0083496331438075e-10,8.016699266287617e-11
0x133DD19C6b081d49662097c8A40056F76fdE506a,256019603178061200,51203920635612240,0.25601960317806116,0.05120392063561224
0x135C6872B3ec171DE3F3Cb51e6AaBc8C662C0507,9073611399101470000,1814722279820294000,9.07361139910147,1.814722279820294
0x13645E0751B81A8e9aafAb13D9c1925969b9DdfE,429368860004309900,85873772000861980,0.4293688600043099,0.08587377200086198
0x137caF657D425C73d8E7B3D1aBaFA6B37e127A99,255537956877454460,51107591375490900,0.25553795687745445,0.051107591375490896
0x138220E6e1e2c9FedC0B18c2854AF20e0Ff4eeD5,400833271.31438076,80166654.26287615,4.008332713143808e-10,8.016665426287615e-11
0x13A3dEd8B8f10431948785224aCDD9B95c964f10,54808991755166210,10961798351033242,0.05480899175516621,0.010961798351033242
0x13E36F8f7A34329bC97834157D1a5431E0fD3d61,400839476.31438076,80167895.26287615,4.0083947631438076e-10,8.016789526287615e-11
0x1416e0b0452631414c0b4219E3f2a7BDB39191fC,579169669839865000000,115833933967972990000,579.169669839865,115.833933967973
0x141a8aD64eD1aC7C07b1370F2b3a10e5521b0180,16409668152036745000,3281933630407349000,16.409668152036744,3.2819336304073494
0x145cA601E3dE4Ba9F9CE30d75b8f74646196D0F5,397523132897683640000,79504626579536720000,397.52313289768364,79.50462657953672
0x14602524171f1FF792cE532BeD1fB3ac6e2Fa9Df,7863576655068934000,1572715331013787000,7.863576655068934,1.572715331013787
